性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
女,本科,重点高校,生活开销,否,500,29.56,6,88.26,529.5599,5,1000,1077.24,0,6,0,0,0,1
男,本科,其他,其他,是,5000,295.66,6,882.61,5295.66,0,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,2018.95,155.81,6,362.46,2174.76,0,0,0,0,0,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,2,3200,3549.17,1108,20,4,0.25719592,0.16666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,5000,4272.48,2948.76,24,6,0.37097108,0.2,0
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,56,2000,2325.08,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,22,10390.64,11192.61,0,78,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,13,0,0,0,0,0,0,0,1
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,0,1000,1181.08,902.9,4,2,0.47448632,0.3333333,0
男,专科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,6,3400,4266.32,0,21,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,17,12000,12837.06,0,64,0,0,0,1
男,硕士研究生,其他,生活开销,是,1000,77.18,6,179.53,1077.18,4,3000,362.38,11755.55,2,16,0.79668665,0.8888889,0
男,本科,其他,创业,是,1000,65.12,6,177.52,1065.119,65,2000,2130.35,0,12,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,4,1000,1047.18,0,6,0,0,0,1
男,本科,重点高校,旅游,是,1000,47.18,6,174.53,1047.18,10,1000,1047.18,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,8,3000,3141.66,0,18,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,9,1000,1047.18,0,6,0,0,0,1
男,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,11,1000,1047.18,0,6,0,0,0,1
男,本科,其他,生活开销,是,100,7.7,6,17.95,107.7,6,2100,2262.31,0,18,0,0,0,1
女,本科,其他,购物,是,300,17.76,6,52.96,317.76,11,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,18,21000,23026.83,0,126,0,0,0,1
男,本科,其他,学习进修,否,1000,32.6199,2,516.3099,1032.619,18,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,526.32,8.77,1,535.09,535.09,0,4722.7,4932.25,0,42,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,6,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,21.67,1,1021.67,1021.67,18,1000,1091.44,0,1,0,0,0,1
男,本科,重点高校,其他,是,840,64.86,6,150.81,904.86,0,4000,4275.18,0,21,0,0,0,1
男,专科,其他,学习进修,否,1000,65.12,6,177.52,1065.119,33,0,0,0,0,0,0,0,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,19,7800,8433.96,0,33,0,0,0,1
男,本科,其他,创业,否,1000,52.64,4,263.16,1052.64,19,2000,2174.48,0,9,0,0,0,1
男,专科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,8,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,124.21,9.59,6,22.3,133.8,0,4145.26,7759.26,0,30,0,0,0,1
男,专科,其他,其他,是,1894.74,146.28,6,340.17,2041.02,0,1000,0,3607.31,0,6,0.7829536,1,0
男,专科,其他,购物,是,1000,65.95,5,213.19,1065.95,19,3000,3472.26,0,16,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,9,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,8,3000,3141.66,0,18,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,5,3000,3141.66,0,18,0,0,0,1
女,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,87,3000,3141.78,0,18,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,4,5000,4188.84,0,24,0,0,0,1
女,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,21,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,9,2000,2094.36,0,12,0,0,0,1
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,9,2400,2897.2,0,16,0,0,0,1
男,本科,其他,付房租,是,400,30.86,6,71.81,430.86,9,2000,2639.7,0,12,0,0,0,1
男,本科,其他,其他,是,3040,234.68,6,545.78,3274.68,0,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,700,54.02,6,125.67,754.02,15,11415.79,12297.14,0,84,0,0,0,1
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,15,15415.79,16605.86,0,114,0,0,0,1
男,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,32,0,0,0,0,0,0,0,0
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,3,2400,2585.22,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,62.12,6,177.02,1062.119,4,2000,2139.18,0,12,0,0,0,1
男,专科,其他,旅游,是,500,38.6199,6,89.77,538.62,15,3749.66,4002.39,0,30,0,0,0,1
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,11,1000,1157.26,0,6,0,0,0,1
女,本科,其他,购物,是,1000,74.18,6,179.03,1074.18,2,1000,590.26,1742.98,3,3,0.635433,0.5,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,28,4000,4339.24,0,17,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,2,452.63,239.69,764.81,3,3,0.6282117,0.5,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,16,2000,2518.98,1142.7,10,2,0.36360455,0.16666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,4000,4272.54,0,24,0,0,0,1
男,本科,其他,生活开销,是,1000,74.18,6,179.03,1074.18,4,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,33,0,0,0,0,0,0,0,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,58,2000,886.04,5111.03,4,8,0.7187468,0.6666667,0
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,18,2000,2094.48,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,7,2000,2094.42,0,12,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,7,1000,1047.18,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,3000,3141.48,0,18,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,3,2000,2094.36,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,3,2000,2094.3,0,12,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,3,1000,1047.18,0,6,0,0,0,1
女,专科,其他,购物,否,1000,77.18,6,179.53,1077.18,4,7000,7751.45,0,42,0,0,0,1
男,专科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,2,3440,6414.78,0,24,0,0,0,0
男,本科,其他,旅游,是,500,38.6199,6,89.77,538.62,20,3809.47,5166.52,0,24,0,0,0,1
男,专科,其他,学习进修,是,400,30.86,6,71.81,430.86,16,2000,2597.34,0,12,0,0,0,1
男,本科,其他,其他,是,631.58,48.76,6,113.39,680.34,0,3333.06,4584.65,102.85,29,1,0.029933846,0.033333335,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,7,5000,6248.99,278.74,29,1,0.05280427,0.033333335,0
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,64,2000,2417.28,0,12,0,0,0,0
男,本科,其他,学习进修,是,1000,32.6199,2,516.3099,1032.619,10,1000,1332.19,0,1,0,0,0,1
男,本科,重点高校,旅游,是,1000,77.18,6,179.53,1077.18,11,3500,4556.82,0,21,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,12,6000,6418.72,0,36,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,30,2000,852,4879,4,8,0.70926005,0.6666667,0
女,本科,其他,其他,是,4933.68,321.36,6,875.84,5255.04,0,0,0,0,0,0,0,0,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,3,2000,1795.3,808.98,10,2,0.28799778,0.16666667,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,84,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,1000,1077.18,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,25,0,0,0,0,0,0,0,1
女,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,6,2000,0,5202.75,0,12,0.7223283,1,0
男,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,22,10000,12711,0,45,0,0,0,1
男,本科,其他,其他,是,939.04,72.5,6,168.59,1011.54,0,4000,0,15526.76,0,24,0.7951529,1,0
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,51,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,59.12,6,176.52,1059.119,9,0,0,0,0,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,48,4000,4311.24,0,24,0,0,0,1
男,本科,其他,其他,是,1882.11,145.29,6,337.9,2027.4,0,0,0,0,0,0,0,0,1
男,本科,重点高校,付房租,是,1000,77.18,6,179.53,1077.18,4,2000,2154.36,0,12,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,967.37,74.65,6,173.67,1042.02,0,4000,2702.13,7642.76,10,14,0.6564388,0.5833333,0
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,36,0,0,0,0,0,0,0,1
女,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,36,1000,1708.45,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,9,2000,2981.98,0,12,0,0,0,1
男,本科,其他,付房租,是,1000,59.12,6,176.52,1059.119,3,2000,2898.8,0,12,0,0,0,1
男,专科,其他,创业,是,1000,16.67,1,1016.67,1016.67,27,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,59.12,6,176.52,1059.119,17,0,0,0,0,0,0,0,1
女,专科,其他,创业,否,1000,77.18,6,179.53,1077.18,44,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,7,3000,1615.99,4787.28,9,9,0.61475635,0.5,0
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,13,2400,2576.82,0,18,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,19,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,54.76,4,263.69,1054.76,43,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,44,1000,181.57,2940.61,1,5,0.74623215,0.8333333,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,10,2000,2094.36,0,12,0,0,0,1
女,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,10,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,7,1000,1047.18,0,6,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,5,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,3,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,3,3000,3141.54,0,18,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,1000,1047.18,0,6,0,0,0,1
男,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,2,4000,4188.66,0,24,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,8,1000,1047.18,0,6,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,8,0,0,0,0,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,3,3000,3141.6,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,6,3000,3141.48,0,18,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,3,4000,4188.84,0,24,0,0,0,1
男,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,4,1000,1047.24,0,6,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,3000,3121.64,0,18,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,3,2000,2081.04,0,12,0,0,0,1
男,本科,其他,付房租,是,1000,47.18,6,174.53,1047.18,3,1000,1040.49,0,6,0,0,0,1
男,硕士研究生,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,8,3000,3231.54,0,18,0,0,0,1
男,本科,其他,其他,是,2330.53,179.87,6,418.4,2510.4,0,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,15,3330.53,1659.2,7329.04,4,8,0.68755496,0.6666667,0
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,41,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,8,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,7,4000,4308.78,0,24,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,12,5000,5830.6,0,30,0,0,0,1
男,本科,其他,旅游,是,1000,74.18,6,179.03,1074.18,17,6000,7040.04,0,36,0,0,0,0
女,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,19,0,0,0,0,0,0,0,1
女,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,9,2000,2269.85,0,12,0,0,0,1
男,本科,重点高校,购物,是,1000,43.64,3,347.88,1043.64,4,10100,10850.67,0,71,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,19,2000,2155.5,0,12,0,0,0,1
女,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,13,5000,5560.39,0,25,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,91,5000,4994.68,2587.68,24,6,0.34103703,0.2,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,91,6000,4994.68,5182.88,24,12,0.46346557,0.33333334,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,3000,0,10327.56,0,18,0.7749025,1,0
男,本科,其他,社交娱乐,是,1000,77.18,6,179.53,1077.18,13,3000,1615.8,4621.78,9,9,0.60639113,0.5,0
男,本科,其他,学习进修,是,1000,59.12,6,176.52,1059.119,6,1000,1584.63,0,6,0,0,0,1
男,本科,重点高校,旅游,是,1000,77.18,6,179.53,1077.18,7,7000,7494.88,0,42,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,9,1000,1218.26,460.34,5,1,0.31522796,0.16666666,0
男,硕士研究生,其他,创业,是,1000,77.18,6,179.53,1077.18,8,1000,1077.24,0,6,0,0,0,1
男,硕士研究生,其他,创业,是,1000,77.18,6,179.53,1077.18,8,7000,7540.68,0,42,0,0,0,1
男,专科,重点高校,创业,是,1000,77.18,6,179.53,1077.18,7,2000,2154.74,0,12,0,0,0,1
男,本科,其他,其他,是,2104.21,162.41,6,377.77,2266.62,0,0,0,0,0,0,0,0,1
男,专科,其他,购物,否,1000,77.18,6,179.53,1077.18,11,1000,0,1691.43,0,6,0.6284503,1,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,15,2000,2744.77,0,12,0,0,0,1
女,专科,其他,创业,否,550,42.44,6,98.74,592.44,25,3000,3509.56,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,15,1000,1077.94,0,6,0,0,0,1
男,专科,其他,购物,是,1000,21.67,1,1021.67,1021.67,4,13000,14663.87,0,73,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,3,3000,3195.48,0,18,0,0,0,1
男,本科,重点高校,购物,是,1000,77.18,6,179.53,1077.18,21,0,0,0,0,0,0,0,1
女,本科,重点高校,购物,是,1000,47.18,6,174.53,1047.18,3,4000,4189.16,0,24,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,3,0,0,0,0,0,0,0,1
女,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,6,1000,1047.35,0,6,0,0,0,1
女,本科,重点高校,旅游,是,1000,47.18,6,174.53,1047.18,4,1000,1047.24,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,1000,1047.24,0,6,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,3,2000,2094.36,0,12,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,3,0,0,0,0,0,0,0,1
女,本科,重点高校,购物,是,1000,47.18,6,174.53,1047.18,4,0,0,0,0,0,0,0,1
女,本科,重点高校,生活开销,是,1000,47.18,6,174.53,1047.18,3,2000,2094.36,0,12,0,0,0,1
女,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,4,2000,2094.3,0,12,0,0,0,1
男,本科,其他,社交娱乐,是,1000,47.18,6,174.53,1047.18,6,2000,2094.42,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,3,3000,3141.54,0,18,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,4000,4188.78,0,24,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,23,2000,2094.42,0,12,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,1000,1047.18,0,6,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,4,3000,3141.54,0,18,0,0,0,1
男,本科,其他,创业,是,1000,68.12,6,178.02,1068.119,42,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,10,3000,2989.91,2828.95,12,6,0.48532754,0.33333334,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,7,4000,4308.78,0,24,0,0,0,1
女,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,27,3900,3930.78,3989.78,16,8,0.5056896,0.33333334,0
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,15,3000,1657.05,4918.01,7,11,0.62111694,0.6111111,0
男,专科,其他,创业,是,1000,59.12,6,176.52,1059.119,15,3000,1098.27,5714.2,5,13,0.6557343,0.7222222,0
男,本科,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,36,5000,718.12,13108.81,4,26,0.7238913,0.8666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,1000,1077.18,0,6,0,0,0,1
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,0,1000,1454.98,0,6,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,8,2000,2154.36,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,38,0,0,0,0,0,0,0,0
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,17,1000,874.7,1251.22,3,3,0.5557964,0.5,0
女,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,48,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,4,3000,3231.54,0,18,0,0,0,1
男,本科,其他,其他,是,1000,77.18,6,179.53,1077.18,14,2800,3417.02,0,18,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,31,1000,0,3303.9,0,6,0.7676526,1,0
男,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,5,1000,1120.62,424.09,5,1,0.29779717,0.16666666,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,5,1000,1578.7,0,6,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,5,4000,6771.34,0,24,0,0,0,1
女,本科,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,12,1000,0,3296.23,0,6,0.7672378,1,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,1000,1075.08,895.18,4,2,0.47234562,0.3333333,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,10,0,0,0,0,0,0,0,1
女,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,7,0,0,0,0,0,0,0,0
男,本科,其他,社交娱乐,是,1000,77.18,6,179.53,1077.18,40,0,0,0,0,0,0,0,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,51,2000,2831.22,0,12,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,10,2000,2136.68,0,12,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,29,3000,0,9248.91,0,18,0.7550802,1,0
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,11,3000,538.59,7561.11,3,15,0.7159389,0.8333333,0
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,20,2000,2094.36,0,12,0,0,0,1
男,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,3,4000,4188.72,0,24,0,0,0,1
女,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,3,4000,4188.66,0,24,0,0,0,1
女,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,2,2000,2094.36,0,12,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,25,1000,1047.18,0,6,0,0,0,1
女,本科,重点高校,旅游,是,1000,47.18,6,174.53,1047.18,9,4000,4188.72,0,24,0,0,0,1
女,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,14,4000,4188.72,0,24,0,0,0,1
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,0,4000,4188.84,0,24,0,0,0,1
男,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,19,2000,2094.42,0,12,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,3,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,47.18,6,174.53,1047.18,21,4000,4188.72,0,24,0,0,0,1
男,本科,重点高校,创业,是,1000,47.18,6,174.53,1047.18,17,3000,3141.54,0,18,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,6,2000,2094.36,0,12,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,43,1000,1047.18,0,6,0,0,0,1
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,10,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,2,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,2,9000,9528.85,0,39,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,18,3000,1786.02,4021.7,9,9,0.572753,0.5,0
男,专科,其他,购物,是,1000,19.17,1,1019.17,1019.17,10,1000,1065,0,1,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,10,0,0,0,0,0,0,0,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,2,2446.81,5762.32,0,18,0,0,0,1
女,本科,其他,生活开销,是,1000,59.12,6,176.52,1059.119,0,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,17,2000,2274.11,0,12,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,17,3000,3602.53,0,18,0,0,0,1
